,ebird code,Scientific Name,Common Name
502,gotwoo1,Campethera abingoni,Golden-tailed Woodpecker
503,momwoo1,Campethera mombassica,Mombasa Woodpecker
504,grbwoo2,Campethera cailliautii,Green-backed Woodpecker
505,benwoo1,Campethera bennetti,Bennett's Woodpecker
506,tulwoo3,Campethera tullbergi,Fine-banded Woodpecker
507,buswoo1,Campethera nivosa,Buff-spotted Woodpecker
508,brewoo1,Campethera caroli,Brown-eared Woodpecker
509,spbwoo2,Dendropicos poecilolaemus,Speckle-breasted Woodpecker
510,carwoo1,Dendropicos fuscescens,Cardinal Woodpecker
511,beawoo1,Dendropicos namaquus,Bearded Woodpecker
512,grywoo1,Dendropicos goertae,African Grey Woodpecker
513,brbwoo1,Picoides obsoletus,Brown-backed Woodpecker
514,afrbro1,Smithornis capensis,African Broadbill
515,afrpit1,Pitta angolensis,African Pitta
516,afrshf1,Megabyas flammulatus,Shrike Flycatcher
517,bawfly1,Bias musicus,Black-and-white Flycatcher
518,chweye1,Dyaphorophyia castanea,Chestnut Wattle-eye
519,jaweye1,Dyaphorophyia jamesoni,Jameson's Wattle-eye
520,ybweye1,Dyaphorophyia concreta,Yellow-bellied Wattle-eye
521,shtbat1,Batis mixta,Forest Batis
522,chibat1,Batis molitor,Chin-spot Batis
523,gyhbat1,Batis orientalis,Grey-headed Batis
524,palbat1,Batis soror,Pale Batis
525,bkhbat2,Batis minor,Black-headed Batis
526,pygbat1,Batis perkeo,Pygmy Batis
527,btweye2,Platysteira cyanea,Brown-throated Wattle-eye
528,btweye1,Platysteira peltata,Black-throated Wattle-eye
529,whihel1,Prionops plumatus,White-crested Helmetshrike
530,gychel1,Prionops poliolophus,Grey-crested Helmetshrike
531,rethel1,Prionops retzii,Retz's Helmetshrike
532,chfhel1,Prionops scopifrons,Chestnut-fronted Helmetshrike
533,gyhbus1,Malaconotus blanchoti,Grey-headed Bushshrike
534,blfbus1,Chlorophoneus nigrifrons,Black-fronted Bushshrike
535,subbus1,Chlorophoneus sulfureopectus,Sulphur-breasted Bushshrike
536,dohbus1,Chlorophoneus dohertyi,Doherty's Bushshrike
537,ropbus1,Rhodophoneus cruentus,Rosy-patched Bushshrike
538,martch2,Tchagra minutus,Marsh Tchagra
539,brctch1,Tchagra australis,Brown-crowned Tchagra
540,thstch1,Tchagra jamesi,Three-streaked Tchagra
541,bkctch1,Tchagra senegalus,Black-crowned Tchagra
542,pifpuf1,Dryoscopus angolensis,Pink-footed Puffback
543,blbpuf2,Dryoscopus cubla,Black-backed Puffback
544,pripuf1,Dryoscopus pringlii,Pringle's Puffback
545,norpuf1,Dryoscopus gambensis,Northern Puffback
546,soobou1,Laniarius leucorhynchus,Sooty Bouobu
547,slcbou1,Laniarius funebris,Slate-coloured Boubou
548,luebus1,Laniarius luehderi,Lühder's Bushshrike
549,renbus1,Laniarius ruficeps,Red-naped Bushshrike
550,trobou1,Laniarius aethopicus,Tropical Boubou
551,papgon1,Laniarius mufumbiri,Papyrus Gonolek
552,blhgon1,Laniarius erythrogaster,Black-headed Gonolek
553,brubru1,Nilaus afer,Brubru
554,grycus1,Coracina caesia,Grey Cuckooshrike
555,whbcus2,Coracina pectoralis,White-breasted Cuckooshrike
556,blkcus1,Campephaga flava,Black Cuckooshrike
557,rescus1,Campephaga phoenicea,Red-shouldered Cuckooshrike
558,petcus1,Campephaga petiti,Petit's Cuckooshrike
559,putcus1,Campephaga quiscalina,Purple-throated Cuckooshrike
560,yebshr1,Corvinella corvina,Yellow-billed Shrike
561,magshr1,Urolestes melanoleucus,Magpie Shrike
562,rebshr1,Lanius collurio,Red-backed Shrike
563,isashr1,Lanius isabellinus,Isabelline Shrike
564,macshr1,Lanius mackinnoni,Mackinnon's Shrike
565,legshr2,Lanius minor,Lesser Grey Shrike
566,ibgshr1,Lanius meridionalis,Southern Grey Shrike
567,gybfis1,Lanius excubitoroides,Grey-backed Fiscal
568,lotfis1,Lanius cabanisi,Long-tailed Fiscal
569,taifis1,Lanius dorsalis,Taita Fiscal
570,somfis1,Lanius somalicus,Somali Fiscal
571,soufis1,Lanius collaris,Common Fiscal
572,wooshr1,Lanius senator,Woodchat Shrike
573,masshr1,Lanius nubicus,Masked Shrike
574,eugori2,Oriolus oriolus,Eurasian Golden Oriole
575,afgori2,Oriolus auratus,African Golden Oriole
576,grhori1,Oriolus chlorocephalus,Green-headed Oriole
577,bltori1,Oriolus percivali,Montane Oriole
578,abhori1,Oriolus larvatus,Black-headed Oriole
579,cstdro1,Dicrurus ludwigii,Square-tailed Drongo
580,fotdro5,Dicrurus adsimilis,Common Drongo
581,vemdro6,Dicrurus modestus,Velvet-mantled Drongo
582,afcfly1,Trochocercus cyanomelas,Blue-mantled Crested Flycatcher
583,yelfly2,Erythrocercus holochlorus,Little Yellow Flycatcher
584,bhpfly1,Terpsiphone rufiventer,Red-bellied Paradise Flycatcher
585,afpfly1,Terpsiphone viridis,African Paradise Flycatcher
586,afbfly1,Elminia longicauda,African Blue Flycatcher
587,ducfly1,Elminia nigromitrata,Dusky Crested Flycatcher
588,wtcfly1,Eliminia albonotata,White-tailed Crested Flycatcher
589,piapia1,Ptilostomus afer,Piapiac
590,houcro1,Corvus splendens,House Crow
591,capcro2,Corvus capensis,Cape Rook
592,piecro1,Corvus albus,Pied Crow
593,somcro2,Corvus edithae,Dwarf Raven
594,fatrav1,Corvus rhipidurus,Fan-tailed Raven
595,whnrav1,Corvus albicollis,White-necked Raven
596,dustit2,Parus funereus,Dusky Tit
597,whbtit5,Parus albiventris,White-bellied Tit
